state,date,active,deaths,recovered,confirmed
Maharashtra,6/10/2020,90787,44859,3289,42639
Tamil Nadu,6/10/2020,34914,16282,307,18325
Delhi,6/10/2020,29943,17712,874,11357
Gujarat,6/10/2020,21044,5358,1313,14373
Rajasthan,6/10/2020,11245,2662,255,8328
Uttar Pradesh,6/10/2020,11335,4365,301,6669
Madhya Pradesh,6/10/2020,9849,2700,420,6729
West Bengal,6/10/2020,8985,4950,415,3620
State Unassigned,6/10/2020,9227,9227,0,0
Karnataka,6/10/2020,5921,3248,66,2605
Bihar,6/10/2020,5455,2652,33,2770
Haryana,6/10/2020,5209,3357,45,1807
Andhra Pradesh,6/10/2020,5029,2177,77,2775
Jammu and Kashmir,6/10/2020,4346,2792,48,1506
Telangana,6/10/2020,3920,2030,148,1742
Odisha,6/10/2020,3140,996,11,2133
Assam,6/10/2020,3051,1945,5,1098
Punjab,6/10/2020,2719,497,55,2167
Kerala,6/10/2020,2097,1232,17,848
Uttarakhand,6/10/2020,1537,762,13,755
Jharkhand,6/10/2020,1416,849,8,559
Chhattisgarh,6/10/2020,1211,859,5,347
Tripura,6/10/2020,866,673,1,192
Himachal Pradesh,6/10/2020,437,191,6,237
Goa,6/10/2020,359,292,0,67
Chandigarh,6/10/2020,326,36,5,285
Manipur,6/10/2020,304,240,0,64
Puducherry,6/10/2020,132,77,0,55
Nagaland,6/10/2020,128,118,0,10
Ladakh,6/10/2020,108,57,1,50
Mizoram,6/10/2020,93,92,0,1
Arunachal Pradesh,6/10/2020,57,55,0,2
Meghalaya,6/10/2020,43,29,1,13
Andaman and Nicobar Islands,6/10/2020,34,1,0,33
Dadra and Nagar Haveli and Daman and Diu,6/10/2020,22,20,0,2
Sikkim,6/10/2020,13,10,0,3
Lakshadweep,6/10/2020,0,0,0,0
